id,name,address,city,state,zip,lat,lon,phone,revenue,utilization,location
3e43d1f2-47b3-3319-a5e2-39efaddaa57a,BBH PBMC  LLC,701 PRINCETON AVE SW,BIRMINGHAM,AL,352111303,33.4985462,-86.8447172,2057833000,0.0,131,POINT(-86.8447172 33.4985462)
b1a55794-9542-3f9c-9919-557461a6f52d,POARCH BAND OF CREEK INDIANS,429 BUFORD L ROLIN DR,ATMORE,AL,365025025,31.0237921,-87.4938708,2513689136,0.0,108,POINT(-87.4938708 31.0237921)
0454e1bb-e719-3658-a9ae-be3b88455c92,ENTERPRISE HEALTH & REHABILITATION CENTER,300 PLAZA DRIVE,ENTERPRISE,AL,363303311,31.267787,-85.812626,3343479541,0.0,2,POINT(-85.812626 31.267787)
d7e99834-9914-36bc-ad1f-e9b2ae9891ff,CHELSEA URGENT CARE,15582 HWY 280,CHELSEA,AL,350438359,33.357650500000005,-86.65786878409091,2056783924,0.0,2,POINT(-86.65786878409091 33.357650500000005)
9b06438b-9cca-3894-9779-8352b675a166,GENEVA COUNTY HEALTHCARE AUTHORITY INC,1200 W MAPLE AVE,GENEVA,AL,363401642,31.0489116,-85.89202133403035,3346843655,0.0,29,POINT(-85.89202133403035 31.0489116)
e1878b34-b375-3b55-8b16-72ca5b23e2a8,HEALTH SERVICES INC,2801 WILLENA AVE,MONTGOMERY,AL,361071055,32.398911,-86.278553,3344205001,0.0,28,POINT(-86.278553 32.398911)
89770288-73d9-356e-8931-aaa1098fe7e5,ENCOMPASS HEALTH HOME HEALTH,207 FOB JAMES DRIVE,VALLEY,AL,36854,32.816548346938774,-85.18925708163266,3347686225,0.0,15,POINT(-85.18925708163266 32.816548346938774)
0ffa22ac-06dd-3ecc-aef4-09b7f081f884,KINDRED AT HOME,1988 FAIRVIEW AVENUE,PRATTVILLE,AL,360665215,32.483886276131656,-86.41457870164865,3343619806,0.0,1,POINT(-86.41457870164865 32.483886276131656)
9b62d2a3-c0f6-3caf-9993-c6d2fa370164,LYONS & ASSOCIATES FAMILY CARE  PLLC,5511 HIGHWAY 280 STE 223,HOMEWOOD,AL,352092650,33.4717732,-86.8008228,2057740309,0.0,19,POINT(-86.8008228 33.4717732)
87d97417-cd57-3b53-b161-e8ac39c5bf1f,KINDRED AT HOME,2100 SOUTHBRIDGE PKWY  SUITE 480,BIRMINGHAM,AL,35209,33.4897169,-86.7881762,2058360777,0.0,2,POINT(-86.7881762 33.4897169)
71dc433a-37c5-3884-8bc1-d5023ec27b2d,THE RUSSELL HOSPITAL CORPORATION,3316 HIGHWAY 280,ALEXANDER CITY,AL,350103369,32.944012,-85.9538532,2563297109,0.0,15,POINT(-85.9538532 32.944012)
cd530c35-07c4-39f2-864f-e39ac68e50c1,MEDICAL WEST HOSPITAL AUTHORITY  AN AFFILIATE OF UAB HEALTH SYSTEM,995 9TH AVE SW,BESSMER,AL,350224527,33.497139,-86.8765717,2054817670,0.0,29,POINT(-86.8765717 33.497139)
180c723a-bd7d-3453-871a-1153b8a3d16e,DEKALB URGENT CARE AND WELLNESS CLINIC  LLC,157 MARSHALL ROAD,RAINSVILLE,AL,359864542,34.4840922135319,-85.81958252807092,2566389355,0.0,39,POINT(-85.81958252807092 34.4840922135319)
491921a5-76fc-3554-bd4a-2bd2ca869974,N AL FAMILY MEDICINE LLC,101 WESTOVER CIR,MADISON,AL,357588959,34.678503375934156,-86.7549476329108,2563253800,0.0,24,POINT(-86.7549476329108 34.678503375934156)
1d2ce9ea-3458-3c31-8907-d6b7798feee5,MONROE MANOR HEALTH & REHABILITATION CENTER,236 WEST CLAIBORNE STREET,MONROEVILLE,AL,364601704,31.526814,-87.3280188,2515752648,0.0,3,POINT(-87.3280188 31.526814)
61d37d4b-e7a8-34b2-94a2-2828e637961b,PRESBYTERIAN RETIREMENT HOMES OF BIRMINGHAM  INC.,3605 RATLIFF RD,BIRMINGHAM,AL,352104512,33.54401407985391,-86.63249975642263,2059562184,0.0,2,POINT(-86.63249975642263 33.54401407985391)
c83d0bda-679f-3d5e-b51f-cf7bee8612bf,DIVERSICARE OF OXFORD,1130 HALE ST,OXFORD,AL,362032444,33.60854278538551,-85.8297077930352,2568310481,0.0,1,POINT(-85.8297077930352 33.60854278538551)
42efb859-ae8e-3ac4-853e-91b1183af863,EXTENDICARE HEALTH CENTER,950 SOUTH ST. ANDREWS STREET,DOTHAN,AL,363023684,31.21130686287808,-85.39053687198802,3347931177,0.0,8,POINT(-85.39053687198802 31.21130686287808)
a340798a-c604-3365-8d55-3ce31d9d23dc,REHABILITATION HOSPITAL OF NORTH ALABAMA  LLC,107 GOVERNORS DR SW,HUNTSVILLE,AL,358014326,34.71985739778079,-86.5794341714089,2565352300,0.0,16,POINT(-86.5794341714089 34.71985739778079)
43f2d4e8-a317-3da2-b51d-e4191be92d6d,RIVER REGION FAMILY MEDICINE  LLC,277 HUNTRESS STREET,WETUMPKA,AL,360923342,32.5065099,-86.2147715,3345674311,0.0,12,POINT(-86.2147715 32.5065099)
88eebcaa-37fd-3d62-8375-9df9ebb5988b,COLUMBIANA HEALTH AND REHABILITATION  LLC,22969 HIGHWAY 25,COLUMBIANA,AL,350513502,33.1781718,-86.6072054,2056691712,0.0,1,POINT(-86.6072054 33.1781718)
f14efc0e-b676-3bd1-850d-6827bc27d39c,ALABAMA REGIONAL MEDICAL SERVICES,417 19TH STREET ENSLEY,BIRMINGHAM,AL,352181601,33.51352676,-86.89782584000001,2057839300,0.0,28,POINT(-86.89782584000001 33.51352676)
0ee27bb1-1f24-31ca-8bfc-00c253ab1831,BIRMINGHAM NURSING AND REHABILITATION CENTER  LLC,1000 DUGAN AVE,BIRMINGHAM,AL,352144326,33.546116,-86.881078,2057988780,0.0,1,POINT(-86.881078 33.546116)
07c86d2b-6e61-3dec-a2f3-b067aa25bb63,BALDWIN COUNTY PRIMARY CARE  LLC,619 E LAUREL AVE,FOLEY,AL,365353301,30.40692,-87.668535,2519435689,0.0,28,POINT(-87.668535 30.40692)
f8fbba1c-1f64-3068-829d-d3b82b2c7925,ATMORE NURSING CENTER  LLC,715 E LAUREL ST,ATMORE,AL,365023113,31.01619085714286,-87.47632614285713,2513689121,0.0,2,POINT(-87.47632614285713 31.01619085714286)
1a1d3dec-f88b-3973-a7ac-13e31e298d98,SPANISH FORT INTERNAL MEDICINE PC,7552 SPANISH FORT BLVD,SPANISH FORT,AL,365275314,30.67046498709537,-87.89433652552346,2519293058,0.0,13,POINT(-87.89433652552346 30.67046498709537)
b2363187-117f-3afc-8020-9ef5e24f45c6,MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,603 WRIGHT STREET,TUSKEGEE,AL,360831585,32.43276964944494,-85.69145548935818,3347274960,0.0,2,POINT(-85.69145548935818 32.43276964944494)
a5195fd3-19cb-317f-b174-72a98d88f70a,TOMBIGBEE HEALTHCARE AUTHORITY,1007 S MAIN ST,LINDEN,AL,367483149,32.2965125,-87.7978245,3342894000,0.0,28,POINT(-87.7978245 32.2965125)
23af71b4-1c7b-31f9-b98b-34241ccdd4e8,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,359066310,34.00778505,-85.9663095796017,2564944000,0.0,1,POINT(-85.9663095796017 34.00778505)
b989c9f5-a504-3b3f-876d-31a0d5e9d0e6,QHG OF ENTERPRISE INC,400 N EDWARDS ST,ENTERPRISE,AL,363302510,31.318424999999998,-85.85468880157622,3343470584,0.0,115,POINT(-85.85468880157622 31.318424999999998)
283a0f5a-a484-364a-816c-de8f55bdff0b,PIEDMONT HEALTH CARE CENTER,30 ROUNDTREE DRIVE,PIEDMONT,AL,362725892,33.9077723,-85.6078584,2564478258,0.0,14,POINT(-85.6078584 33.9077723)
aee85af1-cf83-306b-a06c-4f5e282b840d,HUNTSVILLE HOSPITAL HOMECARE,500 BOULEVARD SOUTH SW  SUITE 203,HUNTSVILLE,AL,358022103,34.668746,-86.573688,2569226650,0.0,5,POINT(-86.573688 34.668746)
0c68094b-63ae-367b-a6ef-f86aebe620a3,HH HEALTH SYSTEM - MORGAN LLC,2205 BELTLINE RD SW,DECATUR,AL,356013617,34.584339188838946,-87.02395062553448,2563412010,0.0,15,POINT(-87.02395062553448 34.584339188838946)
35180000-cd31-3ca4-a6e1-3b7ca276d10d,FAMILY & INDUSTRIAL HEALTH SERVICES  INC.,4725 MOBILE HWY,MONTGOMERY,AL,361085126,32.3109816,-86.3499305,3342813665,0.0,38,POINT(-86.3499305 32.3109816)
